Expression	Value	Location	Type	
Var_64	Error (col 1): Unknown or ambiguous symbol. Var_64			
ADC_Data	<array>	0x2000000C	short[1024]	
[631]	1720	0x20000CFA	short	
[632]	2696	0x20000CFC	short	
[633]	1736	0x20000CFE	short	
[634]	2766	0x20000D00	short	
[635]	1352	0x20000D02	short	
[636]	2686	0x20000D04	short	
[637]	1190	0x20000D06	short	
[638]	2398	0x20000D08	short	
[639]	1780	0x20000D0A	short	
[640]	2286	0x20000D0C	short	
[641]	2532	0x20000D0E	short	
[642]	2656	0x20000D10	short	
[643]	2882	0x20000D12	short	
[644]	2960	0x20000D14	short	
[645]	3032	0x20000D16	short	
[646]	2822	0x20000D18	short	
[647]	3396	0x20000D1A	short	
[648]	2598	0x20000D1C	short	
[649]	3614	0x20000D1E	short	
[650]	2616	0x20000D20	short	
[651]	3200	0x20000D22	short	
[652]	2596	0x20000D24	short	
[653]	2514	0x20000D26	short	
[654]	2252	0x20000D28	short	
[655]	2078	0x20000D2A	short	
[656]	1822	0x20000D2C	short	
[657]	1602	0x20000D2E	short	
[658]	1712	0x20000D30	short	
[659]	954	0x20000D32	short	
[660]	1910	0x20000D34	short	
[661]	708	0x20000D36	short	
[662]	1926	0x20000D38	short	
[663]	1246	0x20000D3A	short	
[664]	1496	0x20000D3C	short	
[665]	1722	0x20000D3E	short	
[666]	860	0x20000D40	short	
[667]	1424	0x20000D42	short	
[668]	672	0x20000D44	short	
[669]	752	0x20000D46	short	
[670]	1086	0x20000D48	short	
[671]	548	0x20000D4A	short	
[672]	1644	0x20000D4C	short	
[673]	1076	0x20000D4E	short	
[674]	2052	0x20000D50	short	
[675]	1824	0x20000D52	short	
[676]	2492	0x20000D54	short	
[677]	2508	0x20000D56	short	
[678]	3002	0x20000D58	short	
[679]	2778	0x20000D5A	short	
[680]	2950	0x20000D5C	short	
[681]	2288	0x20000D5E	short	
[682]	2386	0x20000D60	short	
[683]	1424	0x20000D62	short	
[684]	2020	0x20000D64	short	
[685]	1072	0x20000D66	short	
[686]	2072	0x20000D68	short	
[687]	1478	0x20000D6A	short	
[688]	2056	0x20000D6C	short	
[689]	1860	0x20000D6E	short	
[690]	1546	0x20000D70	short	
[691]	1254	0x20000D72	short	
[692]	818	0x20000D74	short	
[693]	446	0x20000D76	short	
[694]	562	0x20000D78	short	
[695]	418	0x20000D7A	short	
[696]	1094	0x20000D7C	short	
[697]	1222	0x20000D7E	short	
[698]	2046	0x20000D80	short	
[699]	2224	0x20000D82	short	
[700]	2726	0x20000D84	short	
[701]	2788	0x20000D86	short	
[702]	2664	0x20000D88	short	
[703]	2618	0x20000D8A	short	
[704]	1884	0x20000D8C	short	
[705]	1778	0x20000D8E	short	
[706]	1098	0x20000D90	short	
[707]	1244	0x20000D92	short	
[708]	1080	0x20000D94	short	
[709]	1626	0x20000D96	short	
[710]	1910	0x20000D98	short	
[711]	2452	0x20000D9A	short	
[712]	2928	0x20000D9C	short	
[713]	2700	0x20000D9E	short	
[714]	3046	0x20000DA0	short	
[715]	2290	0x20000DA2	short	
[716]	2112	0x20000DA4	short	
[717]	1730	0x20000DA6	short	
[718]	1152	0x20000DA8	short	
[719]	1434	0x20000DAA	short	
[720]	1192	0x20000DAC	short	
[721]	1492	0x20000DAE	short	
[722]	1834	0x20000DB0	short	
[723]	2052	0x20000DB2	short	
[724]	2066	0x20000DB4	short	
[725]	2518	0x20000DB6	short	
[726]	1480	0x20000DB8	short	
[727]	2364	0x20000DBA	short	
[728]	874	0x20000DBC	short	
[729]	1798	0x20000DBE	short	
[730]	1122	0x20000DC0	short	
[731]	1550	0x20000DC2	short	
[732]	1858	0x20000DC4	short	
[733]	1828	0x20000DC6	short	
[734]	2192	0x20000DC8	short	
[735]	2208	0x20000DCA	short	
[736]	2062	0x20000DCC	short	
[737]	2076	0x20000DCE	short	
[738]	1626	0x20000DD0	short	
[739]	1324	0x20000DD2	short	
[740]	1126	0x20000DD4	short	
[741]	632	0x20000DD6	short	
[742]	922	0x20000DD8	short	
[743]	524	0x20000DDA	short	
[744]	1214	0x20000DDC	short	
[745]	1172	0x20000DDE	short	
[746]	1704	0x20000DE0	short	
[747]	2176	0x20000DE2	short	
[748]	1972	0x20000DE4	short	
[749]	3118	0x20000DE6	short	
[750]	2198	0x20000DE8	short	
[751]	3284	0x20000DEA	short	
[752]	2342	0x20000DEC	short	
[753]	2602	0x20000DEE	short	
[754]	2104	0x20000DF0	short	
[755]	1760	0x20000DF2	short	
[756]	1202	0x20000DF4	short	
[757]	1482	0x20000DF6	short	
[758]	542	0x20000DF8	short	
[759]	1648	0x20000DFA	short	
[760]	1026	0x20000DFC	short	
[761]	1776	0x20000DFE	short	
[762]	2082	0x20000E00	short	
[763]	1756	0x20000E02	short	
[764]	2494	0x20000E04	short	
[765]	1758	0x20000E06	short	
[766]	1850	0x20000E08	short	
[767]	1476	0x20000E0A	short	
[768]	714	0x20000E0C	short	
[769]	906	0x20000E0E	short	
[770]	346	0x20000E10	short	
[771]	578	0x20000E12	short	
[772]	902	0x20000E14	short	
[773]	782	0x20000E16	short	
[774]	1432	0x20000E18	short	
[775]	1382	0x20000E1A	short	
[776]	1438	0x20000E1C	short	
[777]	1980	0x20000E1E	short	
[778]	1350	0x20000E20	short	
[779]	2320	0x20000E22	short	
[780]	1530	0x20000E24	short	
[781]	2320	0x20000E26	short	
[782]	1418	0x20000E28	short	
[783]	2132	0x20000E2A	short	
[784]	992	0x20000E2C	short	
[785]	1898	0x20000E2E	short	
[786]	904	0x20000E30	short	
[787]	1970	0x20000E32	short	
[788]	1498	0x20000E34	short	
[789]	2410	0x20000E36	short	
[790]	2240	0x20000E38	short	
[791]	2784	0x20000E3A	short	
[792]	2254	0x20000E3C	short	
[793]	2528	0x20000E3E	short	
[794]	1618	0x20000E40	short	
[795]	1982	0x20000E42	short	
[796]	1190	0x20000E44	short	
[797]	1778	0x20000E46	short	
[798]	1340	0x20000E48	short	
[799]	1870	0x20000E4A	short	
[800]	1974	0x20000E4C	short	
[801]	2036	0x20000E4E	short	
[802]	2532	0x20000E50	short	
[803]	2146	0x20000E52	short	
[804]	2706	0x20000E54	short	
[805]	2448	0x20000E56	short	
[806]	2386	0x20000E58	short	
[807]	2554	0x20000E5A	short	
[808]	1712	0x20000E5C	short	
[809]	2100	0x20000E5E	short	
[810]	1274	0x20000E60	short	
[811]	1556	0x20000E62	short	
[812]	1148	0x20000E64	short	
[813]	1532	0x20000E66	short	
[814]	1320	0x20000E68	short	
[815]	1942	0x20000E6A	short	
[816]	1710	0x20000E6C	short	
[817]	2396	0x20000E6E	short	
[818]	2186	0x20000E70	short	
[819]	2746	0x20000E72	short	
[820]	2590	0x20000E74	short	
[821]	3152	0x20000E76	short	
[822]	2688	0x20000E78	short	
[823]	3386	0x20000E7A	short	
[824]	2736	0x20000E7C	short	
[825]	3092	0x20000E7E	short	
[826]	2872	0x20000E80	short	
[827]	2306	0x20000E82	short	
[828]	2796	0x20000E84	short	
[829]	1696	0x20000E86	short	
[830]	2336	0x20000E88	short	
[831]	1988	0x20000E8A	short	
[832]	2248	0x20000E8C	short	
[833]	2814	0x20000E8E	short	
[834]	2868	0x20000E90	short	
[835]	3318	0x20000E92	short	
[836]	3350	0x20000E94	short	
[837]	3234	0x20000E96	short	
[838]	3010	0x20000E98	short	
[839]	2978	0x20000E9A	short	
[840]	2234	0x20000E9C	short	
[841]	2804	0x20000E9E	short	
[842]	1990	0x20000EA0	short	
[843]	2688	0x20000EA2	short	
[844]	2684	0x20000EA4	short	
[845]	2738	0x20000EA6	short	
[846]	3496	0x20000EA8	short	
[847]	2886	0x20000EAA	short	
[848]	3430	0x20000EAC	short	
[849]	2718	0x20000EAE	short	
[850]	2550	0x20000EB0	short	
[851]	2106	0x20000EB2	short	
[852]	1584	0x20000EB4	short	
[853]	1310	0x20000EB6	short	
[854]	1088	0x20000EB8	short	
[855]	634	0x20000EBA	short	
[856]	1034	0x20000EBC	short	
[857]	474	0x20000EBE	short	
[858]	1114	0x20000EC0	short	
[859]	626	0x20000EC2	short	
[860]	912	0x20000EC4	short	
[861]	626	0x20000EC6	short	
[862]	844	0x20000EC8	short	
[863]	244	0x20000ECA	short	
[864]	960	0x20000ECC	short	
[865]	36	0x20000ECE	short	
[866]	1070	0x20000ED0	short	
[867]	648	0x20000ED2	short	
[868]	980	0x20000ED4	short	
[869]	1436	0x20000ED6	short	
[870]	876	0x20000ED8	short	
[871]	1282	0x20000EDA	short	
[872]	1012	0x20000EDC	short	
[873]	468	0x20000EDE	short	
[874]	1352	0x20000EE0	short	
[875]	76	0x20000EE2	short	
[876]	1614	0x20000EE4	short	
[877]	622	0x20000EE6	short	
[878]	1602	0x20000EE8	short	
[879]	1508	0x20000EEA	short	
[880]	1426	0x20000EEC	short	
[881]	1920	0x20000EEE	short	
[882]	1206	0x20000EF0	short	
[883]	1730	0x20000EF2	short	
[884]	1156	0x20000EF4	short	
[885]	1084	0x20000EF6	short	
[886]	1266	0x20000EF8	short	
[887]	544	0x20000EFA	short	
[888]	1528	0x20000EFC	short	
[889]	508	0x20000EFE	short	
[890]	1894	0x20000F00	short	
[891]	806	0x20000F02	short	
[892]	2476	0x20000F04	short	
[893]	1194	0x20000F06	short	
[894]	2796	0x20000F08	short	
[895]	1460	0x20000F0A	short	
[896]	2412	0x20000F0C	short	
[897]	1692	0x20000F0E	short	
[898]	1694	0x20000F10	short	
[899]	1798	0x20000F12	short	
[900]	1296	0x20000F14	short	
[901]	1840	0x20000F16	short	
[902]	1300	0x20000F18	short	
[903]	1960	0x20000F1A	short	
[904]	1386	0x20000F1C	short	
[905]	1882	0x20000F1E	short	
[906]	1254	0x20000F20	short	
[907]	1650	0x20000F22	short	
[908]	1234	0x20000F24	short	
[909]	1352	0x20000F26	short	
[910]	1258	0x20000F28	short	
[911]	1064	0x20000F2A	short	
[912]	1106	0x20000F2C	short	
[913]	866	0x20000F2E	short	
[914]	910	0x20000F30	short	
[915]	756	0x20000F32	short	
[916]	1114	0x20000F34	short	
[917]	782	0x20000F36	short	
[918]	1478	0x20000F38	short	
[919]	700	0x20000F3A	short	
[920]	1498	0x20000F3C	short	
[921]	798	0x20000F3E	short	
[922]	1510	0x20000F40	short	
[923]	1338	0x20000F42	short	
[924]	1760	0x20000F44	short	
[925]	1856	0x20000F46	short	
[926]	2028	0x20000F48	short	
[927]	2044	0x20000F4A	short	
[928]	1926	0x20000F4C	short	
[929]	1950	0x20000F4E	short	
[930]	1508	0x20000F50	short	
[931]	1808	0x20000F52	short	
[932]	1302	0x20000F54	short	
[933]	1922	0x20000F56	short	
[934]	1514	0x20000F58	short	
[935]	2144	0x20000F5A	short	
[936]	1852	0x20000F5C	short	
[937]	2204	0x20000F5E	short	
[938]	2182	0x20000F60	short	
[939]	1828	0x20000F62	short	
[940]	2280	0x20000F64	short	
[941]	1480	0x20000F66	short	
[942]	2312	0x20000F68	short	
[943]	1662	0x20000F6A	short	
[944]	2540	0x20000F6C	short	
[945]	2246	0x20000F6E	short	
[946]	3128	0x20000F70	short	
[947]	2644	0x20000F72	short	
[948]	3280	0x20000F74	short	
[949]	2550	0x20000F76	short	
[950]	2494	0x20000F78	short	
[951]	2280	0x20000F7A	short	
[952]	1444	0x20000F7C	short	
[953]	1832	0x20000F7E	short	
[954]	1378	0x20000F80	short	
[955]	1620	0x20000F82	short	
[956]	2582	0x20000F84	short	
[957]	1902	0x20000F86	short	
[958]	3350	0x20000F88	short	
[959]	2352	0x20000F8A	short	
[960]	2608	0x20000F8C	short	
[961]	2210	0x20000F8E	short	
[962]	1496	0x20000F90	short	
[963]	1570	0x20000F92	short	
[964]	1518	0x20000F94	short	
[965]	1008	0x20000F96	short	
[966]	2326	0x20000F98	short	
[967]	1238	0x20000F9A	short	
[968]	2450	0x20000F9C	short	
[969]	1872	0x20000F9E	short	
[970]	1842	0x20000FA0	short	
[971]	2144	0x20000FA2	short	
[972]	1546	0x20000FA4	short	
[973]	1690	0x20000FA6	short	
[974]	1746	0x20000FA8	short	
[975]	1090	0x20000FAA	short	
[976]	1932	0x20000FAC	short	
[977]	974	0x20000FAE	short	
[978]	1622	0x20000FB0	short	
[979]	1076	0x20000FB2	short	
[980]	1030	0x20000FB4	short	
[981]	1152	0x20000FB6	short	
[982]	668	0x20000FB8	short	
[983]	1220	0x20000FBA	short	
[984]	896	0x20000FBC	short	
[985]	1644	0x20000FBE	short	
[986]	1620	0x20000FC0	short	
[987]	1888	0x20000FC2	short	
[988]	1810	0x20000FC4	short	
[989]	1440	0x20000FC6	short	
[990]	1410	0x20000FC8	short	
[991]	722	0x20000FCA	short	
[992]	1106	0x20000FCC	short	
[993]	656	0x20000FCE	short	
[994]	1288	0x20000FD0	short	
[995]	1284	0x20000FD2	short	
[996]	1498	0x20000FD4	short	
[997]	2040	0x20000FD6	short	
[998]	1402	0x20000FD8	short	
[999]	2350	0x20000FDA	short	
[1000]	1682	0x20000FDC	short	
[1001]	2284	0x20000FDE	short	
[1002]	2588	0x20000FE0	short	
[1003]	2106	0x20000FE2	short	
[1004]	3120	0x20000FE4	short	
[1005]	2026	0x20000FE6	short	
[1006]	2512	0x20000FE8	short	
[1007]	2176	0x20000FEA	short	
[1008]	0	0x20000FEC	short	
[1009]	0	0x20000FEE	short	
[1010]	0	0x20000FF0	short	
[1011]	0	0x20000FF2	short	
[1012]	0	0x20000FF4	short	
[1013]	0	0x20000FF6	short	
[1014]	0	0x20000FF8	short	
[1015]	0	0x20000FFA	short	
[1016]	0	0x20000FFC	short	
[1017]	0	0x20000FFE	short	
[1018]	0	0x20001000	short	
[1019]	0	0x20001002	short	
[1020]	0	0x20001004	short	
[1021]	0	0x20001006	short	
[1022]	0	0x20001008	short	
[1023]	0	0x2000100A	short	
