Expression	Value	Location	Type	
Var_64	Error (col 1): Unknown or ambiguous symbol. Var_64			
ADC_Data	<array>	0x2000000C	short[1024]	
[402]	1890	0x20000330	short	
[403]	933	0x20000332	short	
[404]	2675	0x20000334	short	
[405]	3366	0x20000336	short	
[406]	1751	0x20000338	short	
[407]	2891	0x2000033A	short	
[408]	3556	0x2000033C	short	
[409]	3830	0x2000033E	short	
[410]	1983	0x20000340	short	
[411]	3001	0x20000342	short	
[412]	3614	0x20000344	short	
[413]	3857	0x20000346	short	
[414]	1997	0x20000348	short	
[415]	3009	0x2000034A	short	
[416]	3616	0x2000034C	short	
[417]	3858	0x2000034E	short	
[418]	1722	0x20000350	short	
[419]	814	0x20000352	short	
[420]	2617	0x20000354	short	
[421]	3329	0x20000356	short	
[422]	1480	0x20000358	short	
[423]	683	0x2000035A	short	
[424]	2201	0x2000035C	short	
[425]	1137	0x2000035E	short	
[426]	550	0x20000360	short	
[427]	2359	0x20000362	short	
[428]	2992	0x20000364	short	
[429]	1509	0x20000366	short	
[430]	2937	0x20000368	short	
[431]	3495	0x2000036A	short	
[432]	3675	0x2000036C	short	
[433]	1799	0x2000036E	short	
[434]	2740	0x20000370	short	
[435]	1389	0x20000372	short	
[436]	2879	0x20000374	short	
[437]	3464	0x20000376	short	
[438]	3798	0x20000378	short	
[439]	3885	0x2000037A	short	
[440]	3952	0x2000037C	short	
[441]	3992	0x2000037E	short	
[442]	2115	0x20000380	short	
[443]	3075	0x20000382	short	
[444]	3642	0x20000384	short	
[445]	3823	0x20000386	short	
[446]	3913	0x20000388	short	
[447]	3962	0x2000038A	short	
[448]	3993	0x2000038C	short	
[449]	1941	0x2000038E	short	
[450]	2813	0x20000390	short	
[451]	1424	0x20000392	short	
[452]	698	0x20000394	short	
[453]	2436	0x20000396	short	
[454]	3332	0x20000398	short	
[455]	3721	0x2000039A	short	
[456]	1654	0x2000039C	short	
[457]	775	0x2000039E	short	
[458]	2600	0x200003A0	short	
[459]	3317	0x200003A2	short	
[460]	1731	0x200003A4	short	
[461]	2823	0x200003A6	short	
[462]	1509	0x200003A8	short	
[463]	2712	0x200003AA	short	
[464]	1454	0x200003AC	short	
[465]	2746	0x200003AE	short	
[466]	3484	0x200003B0	short	
[467]	3796	0x200003B2	short	
[468]	1981	0x200003B4	short	
[469]	2943	0x200003B6	short	
[470]	1570	0x200003B8	short	
[471]	2740	0x200003BA	short	
[472]	1469	0x200003BC	short	
[473]	2689	0x200003BE	short	
[474]	1445	0x200003C0	short	
[475]	2741	0x200003C2	short	
[476]	3278	0x200003C4	short	
[477]	1598	0x200003C6	short	
[478]	787	0x200003C8	short	
[479]	2480	0x200003CA	short	
[480]	3353	0x200003CC	short	
[481]	3732	0x200003CE	short	
[482]	1661	0x200003D0	short	
[483]	864	0x200003D2	short	
[484]	380	0x200003D4	short	
[485]	172	0x200003D6	short	
[486]	43	0x200003D8	short	
[487]	23	0x200003DA	short	
[488]	0	0x200003DC	short	
[489]	2056	0x200003DE	short	
[490]	2831	0x200003E0	short	
[491]	1431	0x200003E2	short	
[492]	702	0x200003E4	short	
[493]	2364	0x200003E6	short	
[494]	1277	0x200003E8	short	
[495]	2664	0x200003EA	short	
[496]	3442	0x200003EC	short	
[497]	3750	0x200003EE	short	
[498]	3878	0x200003F0	short	
[499]	3946	0x200003F2	short	
[500]	3993	0x200003F4	short	
[501]	1910	0x200003F6	short	
[502]	909	0x200003F8	short	
[503]	358	0x200003FA	short	
[504]	2398	0x200003FC	short	
[505]	3213	0x200003FE	short	
[506]	3709	0x20000400	short	
[507]	3843	0x20000402	short	
[508]	3958	0x20000404	short	
[509]	1899	0x20000406	short	
[510]	3121	0x20000408	short	
[511]	3593	0x2000040A	short	
[512]	3730	0x2000040C	short	
[513]	1802	0x2000040E	short	
[514]	857	0x20000410	short	
[515]	424	0x20000412	short	
[516]	159	0x20000414	short	
[517]	2093	0x20000416	short	
[518]	1134	0x20000418	short	
[519]	2527	0x2000041A	short	
[520]	1361	0x2000041C	short	
[521]	2636	0x2000041E	short	
[522]	1415	0x20000420	short	
[523]	2729	0x20000422	short	
[524]	3269	0x20000424	short	
[525]	1591	0x20000426	short	
[526]	767	0x20000428	short	
[527]	277	0x2000042A	short	
[528]	2356	0x2000042C	short	
[529]	3176	0x2000042E	short	
[530]	1409	0x20000430	short	
[531]	742	0x20000432	short	
[532]	330	0x20000434	short	
[533]	2174	0x20000436	short	
[534]	1176	0x20000438	short	
[535]	2547	0x2000043A	short	
[536]	1379	0x2000043C	short	
[537]	2642	0x2000043E	short	
[538]	1197	0x20000440	short	
[539]	619	0x20000442	short	
[540]	268	0x20000444	short	
[541]	2142	0x20000446	short	
[542]	972	0x20000448	short	
[543]	407	0x2000044A	short	
[544]	2065	0x2000044C	short	
[545]	1033	0x2000044E	short	
[546]	2370	0x20000450	short	
[547]	1197	0x20000452	short	
[548]	2445	0x20000454	short	
[549]	1237	0x20000456	short	
[550]	2467	0x20000458	short	
[551]	1248	0x2000045A	short	
[552]	2815	0x2000045C	short	
[553]	3450	0x2000045E	short	
[554]	1787	0x20000460	short	
[555]	2908	0x20000462	short	
[556]	3565	0x20000464	short	
[557]	3795	0x20000466	short	
[558]	3920	0x20000468	short	
[559]	1858	0x2000046A	short	
[560]	1021	0x2000046C	short	
[561]	2476	0x2000046E	short	
[562]	1335	0x20000470	short	
[563]	2625	0x20000472	short	
[564]	1186	0x20000474	short	
[565]	616	0x20000476	short	
[566]	265	0x20000478	short	
[567]	2142	0x2000047A	short	
[568]	969	0x2000047C	short	
[569]	406	0x2000047E	short	
[570]	2421	0x20000480	short	
[571]	3224	0x20000482	short	
[572]	3538	0x20000484	short	
[573]	1730	0x20000486	short	
[574]	2707	0x20000488	short	
[575]	1371	0x2000048A	short	
[576]	2873	0x2000048C	short	
[577]	3461	0x2000048E	short	
[578]	3657	0x20000490	short	
[579]	1771	0x20000492	short	
[580]	962	0x20000494	short	
[581]	2453	0x20000496	short	
[582]	1321	0x20000498	short	
[583]	2687	0x2000049A	short	
[584]	3231	0x2000049C	short	
[585]	1581	0x2000049E	short	
[586]	759	0x200004A0	short	
[587]	368	0x200004A2	short	
[588]	140	0x200004A4	short	
[589]	36	0x200004A6	short	
[590]	0	0x200004A8	short	
[591]	1996	0x200004AA	short	
[592]	1079	0x200004AC	short	
[593]	2574	0x200004AE	short	
[594]	3126	0x200004B0	short	
[595]	1564	0x200004B2	short	
[596]	2961	0x200004B4	short	
[597]	3526	0x200004B6	short	
[598]	1563	0x200004B8	short	
[599]	729	0x200004BA	short	
[600]	2578	0x200004BC	short	
[601]	3303	0x200004BE	short	
[602]	3579	0x200004C0	short	
[603]	1732	0x200004C2	short	
[604]	934	0x200004C4	short	
[605]	2444	0x200004C6	short	
[606]	1106	0x200004C8	short	
[607]	571	0x200004CA	short	
[608]	239	0x200004CC	short	
[609]	13	0x200004CE	short	
[610]	1868	0x200004D0	short	
[611]	995	0x200004D2	short	
[612]	466	0x200004D4	short	
[613]	2315	0x200004D6	short	
[614]	2968	0x200004D8	short	
[615]	1492	0x200004DA	short	
[616]	734	0x200004DC	short	
[617]	2453	0x200004DE	short	
[618]	3341	0x200004E0	short	
[619]	3706	0x200004E2	short	
[620]	3823	0x200004E4	short	
[621]	1829	0x200004E6	short	
[622]	1003	0x200004E8	short	
[623]	2468	0x200004EA	short	
[624]	1119	0x200004EC	short	
[625]	486	0x200004EE	short	
[626]	2460	0x200004F0	short	
[627]	3236	0x200004F2	short	
[628]	1696	0x200004F4	short	
[629]	2804	0x200004F6	short	
[630]	1500	0x200004F8	short	
[631]	2705	0x200004FA	short	
[632]	1451	0x200004FC	short	
[633]	2680	0x200004FE	short	
[634]	1441	0x20000500	short	
[635]	2675	0x20000502	short	
[636]	1438	0x20000504	short	
[637]	2674	0x20000506	short	
[638]	1438	0x20000508	short	
[639]	2737	0x2000050A	short	
[640]	0	0x2000050C	short	
[641]	3765	0x2000050E	short	
[642]	3883	0x20000510	short	
[643]	3948	0x20000512	short	
[644]	3962	0x20000514	short	
[645]	3992	0x20000516	short	
[646]	2125	0x20000518	short	
[647]	3080	0x2000051A	short	
[648]	3648	0x2000051C	short	
[649]	3823	0x2000051E	short	
[650]	3943	0x20000520	short	
[651]	1891	0x20000522	short	
[652]	2788	0x20000524	short	
[653]	1413	0x20000526	short	
[654]	2549	0x20000528	short	
[655]	1302	0x2000052A	short	
[656]	614	0x2000052C	short	
[657]	198	0x2000052E	short	
[658]	1964	0x20000530	short	
[659]	1041	0x20000532	short	
[660]	471	0x20000534	short	
[661]	222	0x20000536	short	
[662]	17	0x20000538	short	
[663]	2042	0x2000053A	short	
[664]	1104	0x2000053C	short	
[665]	2515	0x2000053E	short	
[666]	1138	0x20000540	short	
[667]	589	0x20000542	short	
[668]	247	0x20000544	short	
[669]	17	0x20000546	short	
[670]	1870	0x20000548	short	
[671]	995	0x2000054A	short	
[672]	467	0x2000054C	short	
[673]	2316	0x2000054E	short	
[674]	3276	0x20000550	short	
[675]	3691	0x20000552	short	
[676]	1911	0x20000554	short	
[677]	2967	0x20000556	short	
[678]	3595	0x20000558	short	
[679]	3806	0x2000055A	short	
[680]	3903	0x2000055C	short	
[681]	3992	0x2000055E	short	
[682]	1816	0x20000560	short	
[683]	943	0x20000562	short	
[684]	419	0x20000564	short	
[685]	196	0x20000566	short	
[686]	3	0x20000568	short	
[687]	2037	0x2000056A	short	
[688]	1101	0x2000056C	short	
[689]	2514	0x2000056E	short	
[690]	1138	0x20000570	short	
[691]	587	0x20000572	short	
[692]	244	0x20000574	short	
[693]	90	0x20000576	short	
[694]	27	0x20000578	short	
[695]	21	0x2000057A	short	
[696]	0	0x2000057C	short	
[697]	2052	0x2000057E	short	
[698]	3154	0x20000580	short	
[699]	3611	0x20000582	short	
[700]	3836	0x20000584	short	
[701]	3960	0x20000586	short	
[702]	2072	0x20000588	short	
[703]	3054	0x2000058A	short	
[704]	3450	0x2000058C	short	
[705]	1670	0x2000058E	short	
[706]	801	0x20000590	short	
[707]	390	0x20000592	short	
[708]	151	0x20000594	short	
[709]	0	0x20000596	short	
[710]	2201	0x20000598	short	
[711]	3115	0x2000059A	short	
[712]	3663	0x2000059C	short	
[713]	3828	0x2000059E	short	
[714]	3947	0x200005A0	short	
[715]	1869	0x200005A2	short	
[716]	1028	0x200005A4	short	
[717]	2480	0x200005A6	short	
[718]	1126	0x200005A8	short	
[719]	581	0x200005AA	short	
[720]	244	0x200005AC	short	
[721]	14	0x200005AE	short	
[722]	2226	0x200005B0	short	
[723]	3101	0x200005B2	short	
[724]	1634	0x200005B4	short	
[725]	2833	0x200005B6	short	
[726]	3333	0x200005B8	short	
[727]	1617	0x200005BA	short	
[728]	778	0x200005BC	short	
[729]	283	0x200005BE	short	
[730]	2005	0x200005C0	short	
[731]	998	0x200005C2	short	
[732]	2356	0x200005C4	short	
[733]	1188	0x200005C6	short	
[734]	2789	0x200005C8	short	
[735]	3435	0x200005CA	short	
[736]	1520	0x200005CC	short	
[737]	706	0x200005CE	short	
[738]	2212	0x200005D0	short	
[739]	1143	0x200005D2	short	
[740]	533	0x200005D4	short	
[741]	254	0x200005D6	short	
[742]	79	0x200005D8	short	
[743]	26	0x200005DA	short	
[744]	0	0x200005DC	short	
[745]	2055	0x200005DE	short	
[746]	3155	0x200005E0	short	
[747]	3630	0x200005E2	short	
[748]	1879	0x200005E4	short	
[749]	2952	0x200005E6	short	
[750]	3587	0x200005E8	short	
[751]	3804	0x200005EA	short	
[752]	3928	0x200005EC	short	
[753]	1883	0x200005EE	short	
[754]	2786	0x200005F0	short	
[755]	1412	0x200005F2	short	
[756]	672	0x200005F4	short	
[757]	325	0x200005F6	short	
